"url","name","topics","skills","type","description"
"https://www.udemy.com/course/the-lean-startup-debunking-myths-of-entrepreneurship/","Free Lean Startup Tutorial - The Lean Startup Talk at Stanford E-Corner | Udemy","['Business', 'Entrepreneurship', 'Lean Startup']","[]","courses","b'Debunking Myths of Entrepreneurship\\nA startup is not a &quot;doll house&quot; version of a larger enterprise. It\x03s a human institution trying to start something new under extreme conditions of uncertainty, says author Eric Ries. It\x03s not that some founders have better ideas than others, and this is what dictates success. What differentiates a successfully launched enterprise is one who can unearth the best ideas under duress - those who can find &quot;the pivot&quot;- the point of reinvention when they realize that their original ideas need retooling. And, more critically, that they can find their market before they run out of money.\\n'"
"https://www.udemy.com/course/swing-trading-the-stock-market/","Simple Strategy for Swing Trading the Stock Market | Udemy","['Finance & Accounting', 'Investing & Trading', 'Swing Trading']","['Become a successful trader!', 'Know exactly when to lock in profits.', 'Keep your losses to an absolute minimum.', 'Have a plan for entry and exit on every trade.', 'Trade stocks using one technical indicator that gives excellent Buy and Sell Signals.']","courses","b""I've been a full-time trader of the Stock Market for almost twenty\xc2\xa0years, and I have developed a very simple and effective strategy for\xc2\xa0Swing Trading Stocks, ETF's -\xc2\xa0plus the\xc2\xa0Forex, Cryptocurrency\xc2\xa0and Commodity Markets.\xc2\xa0 My strategy combines both Fundamental and Technical Analysis, but relies mostly on Technical Analysis of stock charts. This course will concentrate on Technical Analysis, and you will learn everything I know about correctly reading stock charts\xc2\xa0in about 80 minutes!\xc2\xa0 By training yourself to read and correctly interpret the information charts give you, you will be able to predict which way a stock will most likely move in the near future.\xc2\xa0 Charts can actually give you a glimpse of the future, and are a must have tool in the successful trader's arsenal.\\nIn my\xc2\xa0Beginners Guide to Technical Analysis of Stock Charts here on Udemy, I covered fifty different technical indicators.\xc2\xa0 In this course, I teach the one\xc2\xa0indicator I use for all of my Buy and Sell Signals, and it's accuracy rate is about\xc2\xa080%. Two\xc2\xa0of the most important lessons included in this course are\xc2\xa0how to handle a false Buy Signal to keep losses to an absolute minimum, and when to lock in profits to maximize your gains.\xc2\xa0The trading strategy I teach in this course will provide you with a plan for entering and exiting trades with confidence.\xc2\xa0\\nI look forward to helping you to become a\xc2\xa0successful Trader!\\nHappy Trading!\xc2\xa0Tom\xc2\xa0 \\n"""
"https://www.udemy.com/course/vegan-vegetarian-cooking-school/","Online Vegan Vegetarian Cooking School Class | Udemy","['Lifestyle', 'Food & Beverage', 'Vegan Cooking']","['Develop skills to cook vegan', 'Understand basic nutrition for vegans and vegetarians', 'Learn what the body needs for nutritents and where to get them on a vegan diet. Calicum, Iron, Protein, and much more.', 'Create delicious meals with the many recipes included', 'Discover easy breakfasts, fast lunches, and much more', 'Choose the right ingredients for substitutions and for health', 'Discover common and uncommon ingredients used in vegan cooking', 'Make delicious desserts that are healthy enough to eat as a meal']","courses","b""Learn how to cook vegan in whether you've cooked before or are an expert cook. This vegan vegetarian online cooking school uses videos and a lesson book. The 60 to 90 minute video lessons include 1 to 3 demonstrations of the 8 to 12 delicious vegan recipes in the lesson, vegan cooking techniques, health information, and more.\xc2\xa0 Getting Started Vegan Cooking - measuring, kitchen tips, organizing your vegan cupboards, and how to become vegan or vegetarian.\\nKeep in mind this course was filmed over 15 years ago. So please watch the first 2 videos to see if this course is right for you!\\nWe do a lot of baking and healthy desserts. \xc2\xa0Why? Because they are great for breakfast or supper covering two meals in the day. \xc2\xa0Desserts can be part of the meal not a sugar laden added on. \xc2\xa0I'll explain more this course.\\nIn this course:\\nYou will receive all the materials you need including recipes and nutritional handouts.\\nComplete this course fast, in under 12 days, or take your time and do it over several weeks the choice is yours.\\nThis course is structured with videos and printable handout lesson book with the recipes, tips, and health info.\\nEach lesson has a particular focus such as: quick cold breakfasts, filling hot breakfasts, easy sack lunches, wholesome dinner meals (lunch or supper), and light meals.\xc2\xa0 There are also lessons on holidays, breads, soups, and more.\\nIf you'd like to be able to cook vegetarian dishes that wow your family,\xc2\xa0 learn how to make healthy vegan meals and create tasty morsels of vegan food,\xc2\xa0 then you've found what you've been looking for!\\n"""
"https://www.udemy.com/course/see-my-personal-motivation-for-becoming-vegetarian/","How To Become a Vegan, Vegetarian, or Flexitarian | Udemy","['Lifestyle', 'Other Lifestyle', 'Vegan Cooking']","['See the difference between Vegan, Vegetarian, and Flexitarian', 'To make Vegan or Vegetarian choices', 'Find delicious vegan recipes for free', 'Understand basic nutrition for vegans and vegetarians', 'Deal with difficulties encountered by vegans and vegetarians']","courses","b""After taking this course you will be able to make an informed choice as to whether you want to be vegan, semi-vegetarian or something in between. This course give you the tools you need to produce lasting change in your life in this direction. You learn how to share with others the benefits for going vegan, vegetarian, or at least semi-vegetarian. With resources for nutrition and recipes you will be able to create delicious meals and understand the basics for menu planning.\\nNOTE: This is not a cooking course, it is about getting started and the philosophy of vegetarianism. We do offer a vegan cooking school in addition to this course.\\nLearn the basics of how to become a vegan/vegetarian and find out why it's such a great change to make for yourself and the world around you. Taking the plunge is easy because we will give you tools for change starting with how to meet challenges of making changes.\\nYou will learn how to find delicious recipes for FREE and get a basic understanding of the nutritional components needed for health and what are the common issues with a vegan diet.\\nSo sign up or watch the FREE preview for more!\\n"""
"https://www.udemy.com/course/complete-dunbar-collection/","How to Train a Puppy | Udemy","['Lifestyle', 'Pet Care & Training', 'Pet Training']","['Train a new dog old tricks', 'Understand the basics of what to do before and after you get your puppy', 'Apply the SIRIUS method of puppy training', 'Apply the SIRIUS method of adult dog training', 'Manage biting and fighting dogs', 'Apply practical games and exercises ']","courses","b"" The Complete Dr. Dunbar Collection (This course is NOT approved for continued education credits)\\n 4 books, 13 videos & 16 Behavior Blueprints by world-renowned dog trainer Dr. Ian Dunbar. Dr. Dunbar has been a pioneer in the world of pet dog training where he has been instrumental in popularizing dog-friendly, fun and games training that is fast, effective and enjoyable for the whole family. \\n 4 Books: How to Train a New Dog Old Tricks (192 pages), Dr. Dunbar's Good Little Dog Book (144 pages), Before You Get Your Puppy (104 pages) & After You Get Your Puppy (160 pages) \\n 13 DVDs: SIRIUS\xc2\xae Puppy Training Classic (90 minutes) & Redux (40 minutes), SIRIUS\xc2\xae Adult Dog Training (95 minutes), Training Dog with Dunbar (65 minutes), Dog Training for Children (85 minutes), Every Picture Tells a Story (25 minutes), Who Trains Whom (120 minutes), Dog Aggression: Biting (90 minutes) & Fighting (90 minutes) & Training The Companion Dog (Set of four 60 minute DVDs): 1 Socialization & Training, 2 Behavior Problems, 3 Walking & Heeling, 4 Recalls & Stays \\n 16 Customizable Behavior Blueprints: Cat Manners, Come-Sit-Down-Stay, Destructive Chewing, Digging Problems, Dogs & Children, Excessive Barking, Fear of People, Fighting with Dogs, Home Alone, Housetraining, Hyper Dog, New Adult Dog, New Puppy, Puppy Biting, Puppy Training & Walking on Leash \\n All of these books & DVDs are also available for purchase online at James & Kenneth Publishers. Purchased separately this collection would cost $416.80. \\n"""
"https://www.udemy.com/course/curso-de-posicionamiento-en-buscadores-seo/","Curso SEO Online | Udemy","['Marketing', 'Optimización de motores de búsqueda', 'SEO']","['Entender los fundamentos del SEO', 'Aprender a hacer usted mismo el SEO de sus sitiios web', 'Escalar posiciones en los motores de búsqueda', 'Conocer diversas herramientas y utilidades sEO']","courses","b'\xc2\xbfEst\xc3\xa1s harto de probar t\xc3\xa9cnicas SEO que no funcionan? \xc2\xbfAbrumado por la cantidad de informaci\xc3\xb3n que puedes encontrar ah\xc3\xad fuera?\\n\\n\\nSeguro que has intentado aplicar todas las t\xc3\xa9cnicas y la informaci\xc3\xb3n que has aprendido y has terminado haci\xc3\xa9ndote un l\xc3\xado o bien no te ha dado los resultados esperados, viendo con horror como tu web se hund\xc3\xada en los resultados de b\xc3\xbasqueda.\\n\\n\\nTodo eso puede acabarse ya. Con este curso pr\xc3\xa1ctico SEO vas a aprendas a lograr por ti mismo las primeras posiciones en los buscadores. Este video-curso SEO online incluye todo lo que necesitas saber para lograr la visibilidad deseada -y el \xc3\xa9xito- de tu sitio web o negocio online.\xc2\xa0 El curso incluye un m\xc3\xb3dulo completo de SEO para WordPress\xc2\xa0 y tutoriales sobre software especializado para SEO. Como suscriptor al curso, recibir\xc3\xa1s actualizaciones exclusivas gratuitas de por vida.\\n\\n\\nAlgunos de los temas del videocurso son:\\nAspectos generales del SEO\\nFactores internos y externos del SEO\\nFactores de servidor (On server)\\nMetaetiquetas\\nLink Building\\nEstudio de palabras clave\\nHerramientas para webmasters\\nUtilidades y herramientas SEO\\nErrores SEO frecuentes\\nT\xc3\xa9cnicas SEO penalizadas\\nSEO negativo\\nC\xc3\xb3mo optimizar los posts y p\xc3\xa1ginas de tu sitio\\nC\xc3\xb3mo optimizar en enlazado interno de tu blog (interlinking)\\nC\xc3\xb3mo configurar correctamente el plugin ""All in One SEO""\\nC\xc3\xb3mo configurar correctamente el plugin ""Platinum SEO""\\nOptimizar t\xc3\xadtulos, descripciones y keywords\\nC\xc3\xb3mo optimizar las im\xc3\xa1genes\\nC\xc3\xb3mo enviar tus posts a servicios de actualizaci\xc3\xb3n\\nOptimizaci\xc3\xb3n social de tu sitio (Social Media Optimization)\\nIntegraci\xc3\xb3n con Twitter\\nSitemaps\\nGoogle Analytics\\nGoogle Trends\\nLos mejores plugins para SEO\\nC\xc3\xb3mo conseguir enlaces entrantes para tu blog (Link Building)\\n\\nEste es un curso orientado a obtener resultados, por eso no nos andamos por las ramas para no hacerte perder el tiempo como otros cursos con cientos de horas de ""relleno"". Aplicando los conocimientos del curso comprobrar\xc3\xa1s como comienzan a suceder cosas porque est\xc3\xa1s escalando posiciones en Google.\\n\\nEl acceso a los contenidos es inmediato e ilimitado desde todos los dispositivos. El curso incluye tutor\xc3\xada personalizada conmigo.\\n\\nSi quieres comenzar ya a aumentar las visitas a tu sitio sin gastar dinero en publicidad de pago por clic, aprender\xc3\xa1s c\xc3\xb3mo hacerlo en unas pocas horas. \\n'"
"https://www.udemy.com/course/how-to-create-awesome-demo-videos/","How to Create an Awesome Demo Video for Your Business | Udemy","['Business', 'Media', 'Demo Video']","['Scriptwriting - Learn to create simple, compelling, effective scripts in less than 2 hours', 'Animating - Learn to create awesome animations quickly and cheaply', 'Voice over - Learn how to record great voice over audio with no budget or where to hire great voice over talent.', 'Editing- Learn how to put animation, audio, sound, all together with Final Cut or iMovie', 'Promoting - Learn great social media marketing techniques to promote your video and increase your chances of it becoming viral', 'How to produce explainer videos from scratch']","courses","b"" Videos Rule. If your company's website doesn't have them, you are missing out on an awesome way of communicating with your customers. Explainer videos are an easy and dynamic way of letting folks know about your products or services and they can mean the difference between a lookie-loo and actual sales. \\n Unfortunately, many companies let the high costs of professional videos turn them off to the real power of this marketing medium. Some folks even create low quality videos in-house. \\n As dynamic and powerful as videos can be, bad videos can be just as persuasive... in a totally negative way - giving potential customers a bad impressive of your company. Rather than adding poor quality videos to your site, you're probably better off not adding videos at all. \\n Now your company can stand out from the crowd and you don't need to spend $10K in order to have a professional video produced for your site. Are you ready for this? You can start enjoying the benefits of learning how to make your own, professional quality videos now with the help of an awesome video series that teaches you everything you need to know. \\n"""
"https://www.udemy.com/course/learn-ruby-programming-in-ten-easy-steps/","Ruby Programming for Beginners | Udemy","['Development', 'Programming Languages', 'Ruby']","['Hours of video lectures detailing the ten steps to becoming an awesome Rubyist', 'Free eBook The Little Book of Ruby and exclusive discount for The (Big) Book of Ruby', 'Downloadable source codes and sample test files to complement lectures', '5 extra videos detailing Ruby on Rails, Symbols, Recursion, and other challenges', 'Interactive quizzes to let you test your understanding of the topics covered']","courses","b"" Learn Ruby today!  Ruby is famous for being easy to learn but most users only scratch the surface of what it can do. While a typical Ruby tutorial or book focuses on Ruby's trendier features this course reveals the secret inner workings of one of the world's most popular programming languages. It helps you learn Ruby in one of the easiest ways possible through 10 simple steps that will have you writing clear maintainable code in no time. Rather than bog you down with a lot of theory this course takes a hands-on approach and focuses on helping you learn Ruby so that you'reproductive on day one.   Whether you're new to programming or just new to Ruby this Ruby tutorial is your guide to rapid real-world software development withthis unique and elegant language.   Who uses Ruby?  Ruby is an incredibly powerful and highly scalable object-oriented language. Leading technology companies & startups around the world use Ruby or the Ruby on Rails framework to power their websites & web applications. They include:  * Amazon * Twitter * Electronic Arts * Yahoo * New York Times * 37 Signals \\n * And many many more... \\n"""
"https://www.udemy.com/course/yoga-for-weight-loss-and-core-strength-with-sadie-nardini/","14-Day Yoga Detox and Empowerment Course | Udemy","['Health & Fitness', 'Yoga', 'Detox (health)']","['14 chapters (1 per day) featuring fundamentals of Yoga.', '6 hours of yoga video routines & sequences', ""12 detox smoothie recipes to supplement Sadie's yoga sequences"", '20 weight loss secrets to help you tone and get in shape (Sadie actually lost 40lbs herself following this exact routine)']","courses","b"" This fun and simple real-world detox, empowerment and excess weight loss online yoga class is taught by Sadie Nardini, one of yoga's rising celebrity teachers, and an expert in combining specific yoga workouts with diet & healthier living. \\n This online yoga class is designed to teach you a 14 day routine that you can follow throughout your life to reduce weight, maintain your body more free of toxins and extra weight. Her pioneering method of teaching shows you exactly how effective yoga can be while keeping you relaxed, enthusiastic, and entertained. Simply follow her guidance by taking one step at a time for 14 days. After you're done you'll feel refreshed, youthful, and ready to start again! \\n A new bonus workout has just been added for the 14 day program! It will help you shake things up, and give you an option that you can use anytime, during or after the 14 days! \\n"""
"https://www.udemy.com/course/web-design-from-the-ground-up/","Web Design from the Ground Up | Udemy","['Design', 'Web Design']","['Introduction to HTML and XHTML including the most commonly used elements like linking,', 'Introduction to CSS (Cascading Style Sheets) for working with fonts, colors, and complete layout control', 'Web Graphics and Image manipulation with an introduction to Photoshop!', 'Introduction to JavaScript with practical applications including script tags, alert boxes, form validation, and much more!', 'Domain name registration - how it works, pointing your domain to your site, best practices and much more!', 'How to put your site on the Internet, including choosing a web host, working with FTP, and much more!', 'Accessibility - make your site visible to all users!', 'Ecommerce with PayPal - setting up a shopping cart, integrating PayPal, making money with your site!']","courses","b'\\nWeb Design is one of the fastest growing, and best paid fields in the world today!\\nIn this highly informative web design course, veteran web designer and developer Steven Taylor takes you through the entire process of building a complete website from scratch. \\nStarting with nothing but a blank page on Note Pad, Steve shows you step-by-step how to build a beautiful, fully functional website, while teaching you everything you need to know about HTML and CSS, the basic building blocks of the web. \\nBut that\'s not all you will learn in this exciting online web design training: introduction to Photoshop and JavaScript are also covered, along with a complete tutorial on integrating PayPal\'s popular eCommerce solution into your site.\\nWhether you are starting a career in web design or just want to build your own website, ""Web Design from the Ground Up"" will give you the essential tools and information you need to create beautiful, intuitive sites using the latest web standards.\\n'"
